CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41323,CSE,271,B,3,Object-Oriented Programming,MTRF,08:00 am-12:35 pm,Mahendran Veeramani (P),01/02-01/21,BEN 008
40776,CSE,274,A,3,Data Abstractions & Structures,MTWRF,10:00 am-11:20 am,Michael A. Zmuda (P),01/02-01/21,BEN 006
,,,,,,MTWRF,12:30 pm-01:50 pm,Michael A. Zmuda,01/02-01/21,BEN 006
41283,CSE,474,A,3,Compiler Design,MTRF,10:00 am-12:00 pm,James D. Kiper (P),01/02-01/21,BEN 009
,,,,,,MTRF,02:00 pm-03:25 pm,James D. Kiper,01/02-01/21,BEN 009
41284,CSE,574,A,3,Compiler Design,MTRF,10:00 am-12:00 pm,James D. Kiper (P),01/02-01/21,BEN 009
,,,,,,MTRF,02:00 pm-03:25 pm,James D. Kiper,01/02-01/21,BEN 009
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41263,DST,101,A,4,Beginning ASL I,,TBA,Megan E. Gross (P),01/02-01/21,WEB
40319,DST,315,A,3,Disability History in America,,TBA,Kate Rousmaniere (P),01/02-01/21,WEB
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40189,ECO,201,A,3,Principles Of Microeconomics,MTWR,08:30 am-10:15 am,Norman C. Miller (P),01/02-01/12,FSB 0014
,,,,,,MTWR,01:00 pm-02:25 pm,TBA,01/02-01/12,FSB 0014
,,,,,,TWRF,08:30 am-10:15 am,TBA,01/17-01/21,FSB 0014
,,,,,,TWRF,01:00 pm-02:25 pm,TBA,01/17-01/21,FSB 0014
40191,ECO,202,A,3,Principles Of Macroeconomics,MTWR,10:30 am-12:15 pm,George K. Davis (P),01/02-01/15,FSB 0026
,,,,,,MTWR,03:00 pm-04:25 pm,TBA,01/02-01/15,FSB 0026
,,,,,,TWRF,10:30 am-12:15 pm,TBA,01/16-01/21,FSB 0026
,,,,,,TWRF,03:00 pm-04:25 pm,TBA,01/16-01/21,FSB 0026
41260,ECO,202,B,3,Principles Of Macroeconomics,,TBA,Steven R. Elliott (P),01/02-01/21,WEB
40192,ECO,301,A,3,Money And Banking,MTWR,10:30 am-12:15 pm,Prosper Raynold (P),01/02-01/15,FSB 0014
,,,,,,MTWR,02:00 pm-03:25 pm,TBA,01/02-01/15,FSB 0012
,,,,,,TWRF,10:30 am-12:15 pm,TBA,01/16-01/21,FSB 0014
,,,,,,TWRF,02:00 pm-03:25 pm,TBA,01/16-01/21,FSB 0012
40689,ECO,320F,A,3,Experimental Economics,MTWR,10:30 am-12:15 pm,Jacob Brindley (P),01/02-01/15,FSB 1006
,,,,,,MTWR,01:00 pm-02:25 pm,TBA,01/02-01/15,FSB 1006
,,,,,,TWRF,10:30 am-12:15 pm,TBA,01/16-01/21,FSB 1006
,,,,,,TWRF,01:00 pm-02:25 pm,TBA,01/16-01/21,FSB 1006
41209,ECO,356,A,3,Poverty & Income Distribution,MTWRF,01:30 pm-04:00 pm,Janice Rye Kinghorn (P); Kim I. Suellau,12/19-01/25,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40994,EDL,100,A,2,Career Devlp College Student,,TBA,Janie Anne Spires (P),01/02-01/21,WEB
40652,EDL,315,A,3,Disability History in America,,TBA,Kate Rousmaniere (P),01/02-01/21,WEB
40965,EDL,399A,A,6,EDL: Leadership Dominican Rep,,TBA,Scott Allen Sander (P),01/07-01/21,TBA
41281,EDL,730,A,2,New Literacies for Ed Ldrshp,R,04:30 pm-08:45 pm,Dustin Wade Miller (P),01/02-01/21,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40154,EDP,279,A,3,Tech + Media Lit and Learning,,TBA,Michele D. Dickey (P),01/02-01/21,WEB
41228,EDP,443,A,3,Av Instrctn:Mthds Media & Tech,MTWRF,01:30 pm-05:30 pm,Darrel Raymond Davis (P); Martha E. Castaneda,12/30-01/15,TBA
40157,EDP,496,A,3,Behav Intervtn:Thry/Princ/Tech,,TBA,Ashley Elizabeth Johnson (P),01/02-01/21,WEB
40478,EDP,654,A,0,Counseling Practicum,T,04:00 pm-06:40 pm,Erin A. Harper (P),01/02-01/21,MCG 317
40479,EDP,660,A,0,Prac In School Psychology Prct,W,04:00 pm-06:40 pm,Raymond Witte (P),01/02-01/21,MCG 119
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
