CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
68011,AMS,205,C,3,Intro to American Cultures,MWF,08:30 am-09:25 am,Eric Covey (P),01/23-05/13,UPH 255
68015,AMS,205,D,3,Intro to American Cultures,MWF,04:00 pm-04:55 pm,Allison Lynn Wanger (P),01/23-05/13,UPH 249
78075,AMS,205,E,3,Intro to American Cultures,MWF,02:30 pm-03:25 pm,Allison Lynn Wanger (P),01/23-05/13,UPH 298
69745,AMS,205,F,3,Intro to American Cultures,TR,11:30 am-12:50 pm,Carolyn Frances Richter Hardin (P),01/23-05/13,UPH 262
79594,AMS,205,G,3,Intro to American Cultures,MW,10:00 am-11:20 am,Helen Diana Sheumaker (P),01/23-05/13,UPH 312
68018,AMS,206,A,3,Approaches to American Culture,MW,11:30 am-12:50 pm,Helen Diana Sheumaker (P),01/23-05/13,UPH 312
71486,AMS,207,A,3,America: Global-Intercultural,TR,08:30 am-09:50 am,Laurel Recker (P),01/23-05/13,UPH 297
74831,AMS,207,B,3,America: Global-Intercultural,TR,10:00 am-11:20 am,Oana Godeanu-Kenworthy (P),01/23-05/13,UPH 361
74832,AMS,207,C,3,America: Global-Intercultural,TR,01:00 pm-02:20 pm,Laurel Recker (P),01/23-05/13,UPH 249
74833,AMS,207,D,3,America: Global-Intercultural,MWF,10:00 am-10:55 am,Eric Covey (P),01/23-05/13,UPH 249
78077,AMS,207,E,3,America: Global-Intercultural,MWF,01:00 pm-01:55 pm,Eric Covey (P),01/23-05/13,UPH 262
79845,AMS,207,F,3,America: Global-Intercultural,TR,11:30 am-12:50 pm,Oana Godeanu-Kenworthy (P),01/23-05/13,UPH 361
82283,AMS,207H,A,3,America - A Global Context-Hon,TR,02:30 pm-03:50 pm,Sheila L. Croucher (P),01/23-05/13,UPH 262
61055,AMS,222,A,3,Italian American Culture,MW,10:00 am-11:20 am,Daniele Fioretti (P),01/23-05/13,IRV 040
79820,AMS,248,A,3,Asian American Literature,,TBA,Maki Smith (P),01/23-05/13,WEB
82186,AMS,278,A,4,Food Studies & Food Systems,TR,01:00 pm-02:20 pm,Marguerite S. Shaffer (P),01/23-05/13,SHD 200
,,,,,,W,02:00 pm-03:50 pm,TBA,01/23-05/13,SHD 007
82187,AMS,278,B,4,Food Studies & Food Systems,TR,01:00 pm-02:20 pm,Marguerite S. Shaffer (P),01/23-05/13,SHD 200
,,,,,,F,10:00 am-11:50 am,TBA,01/23-05/13,SHD 007
82188,AMS,278,C,4,Food Studies & Food Systems,TR,01:00 pm-02:20 pm,Marguerite S. Shaffer (P),01/23-05/13,SHD 200
