CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
,,,,,,,T,12:45 pm-02:45 pm,Apollo-Rex Michael-Kenneth Revelee,12/13-12/13,MIL 061
10176,AES,210,A,O,1,Leadership Laboratory,R,04:00 pm-06:00 pm,"Apollo-Rex Michael-Kenneth Revelee (P), Jonathan Eric Eldridge , Allison Marie Galford",08/29-12/10,MIL 061
,,,,,,,T,03:00 pm-05:00 pm,Apollo-Rex Michael-Kenneth Revelee,12/13-12/13,MIL 061
10177,AES,221,A,O,1,The Development Of Air Power,T,01:10 pm-02:05 pm,"Allison Marie Galford (P), Jonathan Eric Eldridge , Apollo-Rex Michael-Kenneth Revelee",08/29-12/10,MIL 061
,,,,,,,T,12:45 pm-02:45 pm,Allison Marie Galford,12/13-12/13,MIL 061
10178,AES,221,B,O,1,The Development Of Air Power,R,02:40 pm-03:35 pm,"Allison Marie Galford (P), Jonathan Eric Eldridge , Apollo-Rex Michael-Kenneth Revelee",08/29-12/10,MIL 061
,,,,,,,R,03:00 pm-05:00 pm,Allison Marie Galford,12/15-12/15,MIL 061
10180,AES,310,A,O,1,Leadership Laboratory,R,04:00 pm-06:00 pm,"Apollo-Rex Michael-Kenneth Revelee (P), Jonathan Eric Eldridge , Allison Marie Galford",08/29-12/10,MIL 061
,,,,,,,T,03:00 pm-05:00 pm,Apollo-Rex Michael-Kenneth Revelee,12/13-12/13,MIL 061
10181,AES,331,A,O,3,Aerospace Ldrshp & Management,TR,10:00 am-11:20 am,"Apollo-Rex Michael-Kenneth Revelee (P), Jonathan Eric Eldridge , Allison Marie Galford",08/29-12/10,MIL 061
,,,,,,,T,10:15 am-12:15 pm,Apollo-Rex Michael-Kenneth Revelee,12/13-12/13,MIL 061
10182,AES,410,A,O,1,Leadership Laboratory,R,04:00 pm-06:00 pm,"Allison Marie Galford (P), Jonathan Eric Eldridge , Apollo-Rex Michael-Kenneth Revelee",08/29-12/10,MIL 061
,,,,,,,T,03:00 pm-05:00 pm,Allison Marie Galford,12/13-12/13,MIL 061
10183,AES,431,A,O,3,National Security Affairs,TR,08:30 am-09:50 am,"Jonathan Eric Eldridge (P), Allison Marie Galford , Apollo-Rex Michael-Kenneth Revelee",08/29-12/10,MIL 061
,,,,,,,R,08:00 am-10:00 am,Jonathan Eric Eldridge,12/15-12/15,MIL 061
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
69841,ACE,111,A,O,2,Acad Culture International,MTWRF,08:30 am-05:00 pm,Eun Chong Yang (P),08/07-08/19,TBA
65052,ACE,112,A,O,5,Advanced Comm Strategies,MWF,08:30 am-09:45 am,Olga Filatova (P),08/29-12/10,UPH 258
,,,,,,,M,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 108
,,,,,,,F,08:00 am-10:00 am,Olga Filatova,12/16-12/16,UPH 258
65053,ACE,112,B,O,5,Advanced Comm Strategies,MWF,08:30 am-09:45 am,Ebru Dirsel Duffield (P),08/29-12/10,BAC 151
,,,,,,,M,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 112
,,,,,,,F,08:00 am-10:00 am,Ebru Dirsel Duffield,12/16-12/16,BAC 151
65054,ACE,112,C,O,5,Advanced Comm Strategies,MWF,11:30 am-12:45 pm,Ebru Dirsel Duffield (P),08/29-12/10,BAC 108
,,,,,,,M,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,W,12:45 pm-02:45 pm,Ebru Dirsel Duffield,12/14-12/14,BAC 108
65055,ACE,112,D,O,5,Advanced Comm Strategies,MWF,01:00 pm-02:15 pm,Ebru Dirsel Duffield (P),08/29-12/10,BAC 154
,,,,,,,M,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 114
,,,,,,,M,12:45 pm-02:45 pm,Ebru Dirsel Duffield,12/12-12/12,BAC 154
65056,ACE,112,E,O,5,Advanced Comm Strategies,MWF,02:30 pm-03:45 pm,Dale William Ehrlich (P),08/29-12/10,KRG 213
,,,,,,,M,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,M,03:00 pm-05:00 pm,Dale William Ehrlich,12/12-12/12,KRG 213
65057,ACE,112,F,O,5,Advanced Comm Strategies,MWF,04:00 pm-05:15 pm,Dale William Ehrlich (P),08/29-12/10,UPH 339
,,,,,,,M,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,W,03:00 pm-05:00 pm,Dale William Ehrlich,12/14-12/14,UPH 339
65059,ACE,112,H,O,5,Advanced Comm Strategies,MWF,10:00 am-11:15 am,Jennifer Flory Edwards (P),08/29-12/10,BAC 154
,,,,,,,T,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 112
,,,,,,,W,10:15 am-12:15 pm,Jennifer Flory Edwards,12/14-12/14,BAC 154
65060,ACE,112,I,O,5,Advanced Comm Strategies,MWF,11:30 am-12:45 pm,Olga Filatova (P),08/29-12/10,BAC 154
,,,,,,,T,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 114
,,,,,,,W,12:45 pm-02:45 pm,Olga Filatova,12/14-12/14,BAC 154
66753,ACE,112,K,O,5,Advanced Comm Strategies,MWF,02:30 pm-03:45 pm,Juhi Kim (P),08/29-12/10,BAC 154
,,,,,,,T,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,M,03:00 pm-05:00 pm,Juhi Kim,12/12-12/12,BAC 154
66754,ACE,112,L,O,5,Advanced Comm Strategies,MWF,10:00 am-11:15 am,Miranda Paige Rowe (P),08/29-12/10,PBD 031
,,,,,,,T,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,W,10:15 am-12:15 pm,Miranda Paige Rowe,12/14-12/14,PBD 031
67928,ACE,112,M,O,5,Advanced Comm Strategies,MWF,08:30 am-09:45 am,Eun Chong Yang (P),08/29-12/10,UPH 389
,,,,,,,W,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 108
,,,,,,,F,08:00 am-10:00 am,Eun Chong Yang,12/16-12/16,UPH 389
66942,ACE,112,O,O,5,Advanced Comm Strategies,MWF,11:30 am-12:45 pm,Clyde Joseph Sorell (P),08/29-12/10,BAC 055
,,,,,,,W,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 112
,,,,,,,W,12:45 pm-02:45 pm,Clyde Joseph Sorell,12/14-12/14,BAC 055
66943,ACE,112,P,O,5,Advanced Comm Strategies,MWF,01:00 pm-02:15 pm,Kyung Min Kim (P),08/29-12/10,BAC 108
,,,,,,,W,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 114
,,,,,,,M,12:45 pm-02:45 pm,Kyung Min Kim,12/12-12/12,BAC 108
66946,ACE,112,Q,O,5,Advanced Comm Strategies,MWF,08:30 am-09:45 am,Jennifer Flory Edwards (P),08/29-12/10,BAC 108
,,,,,,,W,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,F,08:00 am-10:00 am,Jennifer Flory Edwards,12/16-12/16,BAC 108
67930,ACE,112,R,O,5,Advanced Comm Strategies,MWF,10:00 am-11:15 am,Olga Filatova (P),08/29-12/10,BAC 151
,,,,,,,W,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,W,10:15 am-12:15 pm,Olga Filatova,12/14-12/14,BAC 151
67931,ACE,112,S,O,5,Advanced Comm Strategies,MWF,11:30 am-12:45 pm,Jennifer Flory Edwards (P),08/29-12/10,PBD 021
,,,,,,,W,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,W,12:45 pm-02:45 pm,Jennifer Flory Edwards,12/14-12/14,PBD 021
67932,ACE,112,T,O,5,Advanced Comm Strategies,MWF,01:00 pm-02:15 pm,Eun Chong Yang (P),08/29-12/10,BAC 151
,,,,,,,R,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 108
,,,,,,,M,12:45 pm-02:45 pm,Eun Chong Yang,12/12-12/12,BAC 151
67933,ACE,112,U,O,5,Advanced Comm Strategies,MWF,02:30 pm-03:45 pm,Ryan Wright (P),08/29-12/10,BAC 151
,,,,,,,R,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 112
,,,,,,,M,03:00 pm-05:00 pm,Ryan Wright,12/12-12/12,BAC 151
67935,ACE,112,V,O,5,Advanced Comm Strategies,MWF,04:00 pm-05:15 pm,Ryan Wright (P),08/29-12/10,BAC 154
,,,,,,,R,06:00 pm-07:30 pm,TBA,09/12-12/10,BAC 114
,,,,,,,W,03:00 pm-05:00 pm,Ryan Wright,12/14-12/14,BAC 154
67936,ACE,112,W,O,5,Advanced Comm Strategies,MWF,10:00 am-11:15 am,Carol B. Olausen (P),08/29-12/10,BAC 108
,,,,,,,R,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,W,10:15 am-12:15 pm,Carol B. Olausen,12/14-12/14,BAC 108
67938,ACE,112,X,O,5,Advanced Comm Strategies,MWF,11:30 am-12:45 pm,Miranda Paige Rowe (P),08/29-12/10,GAR 155
,,,,,,,R,06:00 pm-07:30 pm,TBA,09/12-12/10,TBA
,,,,,,,W,12:45 pm-02:45 pm,Miranda Paige Rowe,12/14-12/14,GAR 155
69010,ACE,112,HUA,H,5,Advanced Comm Strategies,MTWR,04:00 pm-06:55 pm,Jerry Wayne Martin (P),10/26-12/10,REN 202
,,,,,,,T,02:45 pm-04:45 pm,Jerry Wayne Martin,12/13-12/13,REN 202
65281,ACE,112,M A,M,5,Advanced Comm Strategies,MTWRF,10:40 am-12:10 pm,Jessica Jones Ashe (P),08/29-12/10,JHN 012
,,,,,,,F,10:15 am-12:15 pm,Jessica Jones Ashe,12/16-12/16,JHN 012
66227,ACE,112,M B,M,5,Advanced Comm Strategies,MTWRF,10:40 am-12:10 pm,Minjeong Song (P),08/29-12/10,JHN 108
,,,,,,,F,10:15 am-12:15 pm,Minjeong Song,12/16-12/16,JHN 108
67694,ACE,112,M C,M,5,Advanced Comm Strategies,MTWRF,10:40 am-12:10 pm,Kathryn Ann Vogel (P),08/29-12/10,THH 107
,,,,,,,F,10:15 am-12:15 pm,Kathryn Ann Vogel,12/16-12/16,THH 107
65063,ACE,113,A,O,4,Reading Writing Acad Contexts,MWF,08:30 am-09:45 am,Jessica Dianna Downey (P),08/29-12/10,PBD 024
,,,,,,,F,08:00 am-10:00 am,Jessica Dianna Downey,12/16-12/16,PBD 024
65066,ACE,113,B,O,4,Reading Writing Acad Contexts,MWF,10:00 am-11:15 am,Jessica Dianna Downey (P),08/29-12/10,BOY 228
,,,,,,,W,10:15 am-12:15 pm,Jessica Dianna Downey,12/14-12/14,BOY 228
65067,ACE,113,C,O,4,Reading Writing Acad Contexts,MWF,08:30 am-09:45 am,Larysa Bobrova (P),08/29-12/10,KRG 207
,,,,,,,F,08:00 am-10:00 am,Larysa Bobrova,12/16-12/16,KRG 207
65069,ACE,113,E,O,4,Reading Writing Acad Contexts,MWF,02:30 pm-03:45 pm,Clyde Joseph Sorell (P),08/29-12/10,EGB 266
,,,,,,,M,03:00 pm-05:00 pm,Clyde Joseph Sorell,12/12-12/12,EGB 266
