section,Fall Semester 2017,67931,ACE,112,Advanced Comm Strategies,S,5,MWF,890,965,BOY 033,TBA,08/28,12/16,
section,Fall Semester 2017,67932,ACE,112,Advanced Comm Strategies,T,5,MWF,890,965,PBD 021,TBA,08/28,12/16,
section,Fall Semester 2017,67933,ACE,112,Advanced Comm Strategies,U,5,MWF,985,1060,BAC 250,TBA,08/28,12/16,
section,Fall Semester 2017,65063,ACE,113,Reading Writing Acad Contexts,A,4,MWF,510,585,BAC 143,TBA,08/28,12/16,
section,Fall Semester 2017,65066,ACE,113,Reading Writing Acad Contexts,B,4,MWF,605,680,BOY 228,TBA,08/28,12/16,
section,Fall Semester 2017,65067,ACE,113,Reading Writing Acad Contexts,C,4,MWF,510,585,KRG 207,TBA,08/28,12/16,
section,Fall Semester 2017,65069,ACE,113,Reading Writing Acad Contexts,E,4,MWF,890,965,EGB 266,TBA,08/28,12/16,
section,Fall Semester 2017,65070,ACE,113,Reading Writing Acad Contexts,F,4,MWF,700,775,BAC 154,TBA,08/28,12/16,
section,Fall Semester 2017,65071,ACE,113,Reading Writing Acad Contexts,G,4,MWF,510,585,UPH 229,TBA,08/28,12/16,
section,Fall Semester 2017,66756,ACE,113,Reading Writing Acad Contexts,J,4,MWF,985,1060,BAC 114,TBA,08/28,12/16,
section,Fall Semester 2017,66757,ACE,113,Reading Writing Acad Contexts,K,4,MWF,890,965,KRG 227,TBA,08/28,12/16,
section,Fall Semester 2017,66947,ACE,113,Reading Writing Acad Contexts,M,4,MWF,605,680,KRG 213,TBA,08/28,12/16,
section,Fall Semester 2017,66948,ACE,113,Reading Writing Acad Contexts,N,4,MWF,795,870,BAC 108,TBA,08/28,12/16,
section,Fall Semester 2017,66949,ACE,113,Reading Writing Acad Contexts,O,4,MWF,605,680,BOY 033,TBA,08/28,12/16,
section,Fall Semester 2017,66950,ACE,113,Reading Writing Acad Contexts,P,4,MWF,985,1060,BAC 134,TBA,08/28,12/16,
section,Fall Semester 2017,67940,ACE,113,Reading Writing Acad Contexts,S,4,MWF,795,870,PBD 016,TBA,08/28,12/16,
section,Fall Semester 2017,67941,ACE,113,Reading Writing Acad Contexts,T,4,MWF,985,1060,KRG 207,TBA,08/28,12/16,
section,Fall Semester 2017,67942,ACE,113,Reading Writing Acad Contexts,U,4,MWF,700,775,KRG 319,TBA,08/28,12/16,
section,Fall Semester 2017,67943,ACE,113,Reading Writing Acad Contexts,V,4,MWF,795,870,KRG 207,TBA,08/28,12/16,
section,Fall Semester 2017,67944,ACE,113,Reading Writing Acad Contexts,W,4,MWF,890,965,BOY 228,TBA,08/28,12/16,
section,Fall Semester 2017,67946,ACE,113,Reading Writing Acad Contexts,Y,4,MWF,700,775,EGB 162,TBA,08/28,12/16,
section,Fall Semester 2017,67947,ACE,113,Reading Writing Acad Contexts,Z,4,MWF,510,585,BAC 108,TBA,08/28,12/16,
section,Fall Semester 2017,68780,ACE,113,Reading Writing Acad Contexts,AA,4,MWF,700,775,BOY 033,TBA,08/28,12/16,
