CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
72484,ACE,113,AD,4,Reading Writing Acad Contexts,MWF,04:25 pm-05:40 pm,TBA,08/28-12/16,BAC 154,
66892,ACE,212,A,3,Adv Comm Strategies II,TR,08:30 am-09:50 am,TBA,08/28-12/16,BAC 108,
71957,ACE,212,B,3,Adv Comm Strategies II,TR,11:40 am-01:00 pm,TBA,08/28-12/16,PBD 031,
71959,ACE,212,C,3,Adv Comm Strategies II,TR,01:15 pm-02:35 pm,TBA,08/28-12/16,BAC 151,
71960,ACE,212,D,3,Adv Comm Strategies II,TR,02:50 pm-04:10 pm,TBA,08/28-12/16,PBD 029,
71974,ACE,310,UR,2,Critical Reading & Discussion,MWF,04:25 pm-05:50 pm,TBA,10/25-12/16,BAC 143,
69812,ACE,310G,WA,3,Practical English Grammar,MWF,11:40 am-01:15 pm,TBA,10/11-12/16,TBA,
65493,ACE,619,A,2,Adv Speaking and Presenting,MW,01:15 pm-02:10 pm,TBA,08/28-12/16,BOY 033,
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
72376,AMS,135,A,3,U'sting Jazz: Its Hist& Contxt,MW,08:30 am-09:50 am,Tammy L. Kernodle (P),08/28-12/16,CPA 150,FND - Global Course and FND - Creative Arts and FND - Humanities and Thematic Sequence
56024,AMS,205,A,3,Intro to American Cultures,MWF,08:30 am-09:25 am,TBA,08/28-12/16,UPH 361,CASB - Humanities and Intercultural Perspectives and FND - Humanities
56025,AMS,205,B,3,Intro to American Cultures,MWF,10:05 am-11:00 am,TBA,08/28-12/16,GAR 153,CASB - Humanities and Intercultural Perspectives and FND - Humanities
67082,AMS,205,C,3,Intro to American Cultures,MW,02:50 pm-04:10 pm,Carolyn Frances Richter Hardin (P),08/28-12/16,MCG 217,CASB - Humanities and Intercultural Perspectives and FND - Humanities
56807,AMS,205,D,3,Intro to American Cultures,MWF,01:15 pm-02:10 pm,TBA,08/28-12/16,MMH 212,CASB - Humanities and Intercultural Perspectives and FND - Humanities
66510,AMS,205,F,3,Intro to American Cultures,TR,08:30 am-09:50 am,TBA,08/28-12/16,UPH 365,CASB - Humanities and Intercultural Perspectives and FND - Humanities
68440,AMS,205,G,3,Intro to American Cultures,TR,10:05 am-11:25 am,TBA,08/28-12/16,UPH 258,CASB - Humanities and Intercultural Perspectives and FND - Humanities
56026,AMS,206,A,3,Approaches to American Culture,MW,01:15 pm-02:35 pm,Helen Diana Sheumaker (P),08/28-12/16,UPH 229,Advanced Writing
61307,AMS,207,A,3,America: Global-Intercultural,TR,08:30 am-09:50 am,TBA,08/28-12/16,UPH 275,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities
61306,AMS,207,B,3,America: Global-Intercultural,MWF,02:50 pm-03:45 pm,TBA,08/28-12/16,UPH 249,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities
65036,AMS,207,C,3,America: Global-Intercultural,MWF,04:25 pm-05:10 pm,TBA,08/28-12/16,PSYC 131,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities
67083,AMS,207,D,3,America: Global-Intercultural,TR,10:05 am-11:25 am,Oana Godeanu-Kenworthy (P),08/28-12/16,UPH 312,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities
67084,AMS,207,E,3,America: Global-Intercultural,TR,11:40 am-01:00 pm,Oana Godeanu-Kenworthy (P),08/28-12/16,EGB 165,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities
69608,AMS,207H,A,3,America - A Global Context-Hon,WF,02:50 pm-04:10 pm,Sandra Lee Garner (P),08/28-12/16,UPH 131,CASB - Humanities and FND - Global Course and Honors Course and Intercultural Perspectives and FND - Humanities
64648,AMS,211,A,3,Writing with Purpose,TR,10:05 am-11:25 am,TBA,08/28-12/16,BAC 143,
69562,AMS,216,A,3,Introduction to Public History,MW,10:05 am-11:25 am,Helen Diana Sheumaker (P),08/28-12/16,UPH 312,CASB - Humanities
69643,AMS,222,A,3,Italian American Culture,TR,02:50 pm-04:10 pm,Daniele Fioretti (P),08/28-12/16,KRG 221,CASB - Humanities and Intercultural Perspectives and FND - Humanities
71771,AMS,248,A,3,Asian American Literature,WF,01:15 pm-02:35 pm,Yu-Fang Cho (P),08/28-12/16,UPH 163,CASB - Humanities and FND - Global Course and Hybrid (Partially Online) and Intercultural Perspectives and FND - Humanities
70238,AMS,278,A,4,Food Studies & Food Systems,MW,10:05 am-11:50 am,Marguerite S. Shaffer (P); Alfredo J. Huerta,08/28-12/16,UPH 163,
,,,,,,W,02:15 pm-04:05 pm,TBA,08/28-12/16,MCG 422,
70239,AMS,278,B,4,Food Studies & Food Systems,MW,10:05 am-11:50 am,Marguerite S. Shaffer (P); Alfredo J. Huerta,08/28-12/16,UPH 163,
,,,,,,F,10:05 am-11:55 am,TBA,08/28-12/16,UPH 167,
70240,AMS,278,C,4,Food Studies & Food Systems,MW,10:05 am-11:50 am,Marguerite S. Shaffer (P); Alfredo J. Huerta,08/28-12/16,UPH 163,
,,,,,,F,12:10 pm-02:00 pm,TBA,08/28-12/16,MCG 119,
71995,AMS,278,D,4,Food Studies & Food Systems,MW,10:05 am-11:50 am,Marguerite S. Shaffer (P); Alfredo J. Huerta,08/28-12/16,UPH 163,
,,,,,,W,12:10 pm-02:00 pm,TBA,08/28-12/16,UPH 361,
72377,AMS,285,A,3,Intro to African American Mus,MW,11:40 am-01:00 pm,Tammy L. Kernodle (P),08/28-12/16,CPA 150,FND - Global Course and Intercultural Perspectives and FND - Creative Arts and FND - Humanities and Thematic Sequence
66908,AMS,305,A,3,American Icons,TR,01:15 pm-02:35 pm,Oana Godeanu-Kenworthy (P),08/28-12/16,BEN 213,Intercultural Perspectives
71862,AMS,310,A,3,Special Topics Amer Studies,TR,02:50 pm-04:10 pm,Damon Scott (P),08/28-12/16,BEN 213,
71864,AMS,346,A,3,Issues Stdy Native Amer Relgns,WF,11:40 am-01:00 pm,Sandra Lee Garner (P),08/28-12/16,UPH 312,CASB - Humanities and Thematic Sequence
71945,AMS,348,A,3,Ethnic American Literature,MW,10:05 am-11:25 am,Brian Roley (P),08/28-12/16,BAC 256,CASB - Humanities and Intercultural Perspectives
72129,AMS,362,A,3,Era of the American Revolution,MW,02:50 pm-04:10 pm,Lindsay Schakenbach Regele (P),08/28-12/16,HRN 313,CASB - Humanities
72378,AMS,386,A,3,The History of Hip Hop,MW,01:15 pm-02:35 pm,Tammy L. Kernodle (P),08/28-12/16,ART 136,Intercultural Perspectives and Thematic Sequence
65788,AMS,435,A,3,Public History Practicum,MW,04:25 pm-05:45 pm,Helen Diana Sheumaker (P),08/28-12/16,UPH 226,CASB - Humanities
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
